iter	Passed	Remaining
468	714	808
469	715	807
470	717	805
471	718	803
472	719	801
473	720	799
474	721	797
475	722	795
476	724	793
477	725	792
478	727	790
479	728	788
480	729	786
481	730	784
482	731	782
483	732	781
484	733	779
485	735	777
486	737	776
487	738	774
488	739	773
489	741	771
490	742	769
491	743	768
492	745	766
493	746	764
494	747	763
495	748	761
496	750	759
497	751	757
498	752	755
499	753	753
500	755	752
501	756	750
502	757	748
503	758	746
504	759	744
505	760	742
506	762	741
507	763	739
508	765	737
509	766	736
510	767	734
511	768	732
512	770	731
513	771	729
514	773	728
515	774	726
516	775	724
517	776	722
518	777	720
519	779	719
520	780	717
521	781	715
522	782	713
523	783	711
524	784	709
525	785	707
526	787	706
527	788	704
528	789	702
529	790	700
530	791	699
531	793	697
532	794	695
533	795	694
534	796	692
535	797	690
536	798	688
537	799	686
538	801	685
539	802	683
540	803	682
541	805	680
542	807	679
543	808	677
544	809	676
545	811	674
546	812	672
547	813	671
548	814	669
549	815	667
550	817	666
551	818	664
552	819	662
553	820	660
554	823	659
555	824	658
556	826	656
557	827	655
558	829	654
559	831	653
560	833	651
561	834	650
562	835	648
563	836	646
564	838	645
565	839	643
566	840	641
567	841	640
568	842	638
569	843	636
570	844	634
571	845	632
572	846	630
573	847	629
574	848	627
575	849	625
576	851	623
577	852	622
578	853	620
579	854	618
580	855	617
581	856	615
582	857	613
583	858	611
584	859	609
585	860	607
586	861	605
587	862	604
588	863	602
589	864	600
590	865	598
591	866	597
592	867	595
593	868	593
594	869	592
595	871	590
596	872	589
597	873	587
598	874	585
599	875	583
600	877	582
601	878	580
602	879	579
603	880	577
604	881	575
605	883	574
606	884	572
607	885	570
608	886	569
609	887	567
610	888	565
611	889	563
612	890	562
613	891	560
614	892	558
615	893	557
616	894	555
617	896	553
618	897	552
619	898	550
620	899	549
621	900	547
622	901	545
623	902	543
624	903	542
625	905	540
626	906	539
627	907	537
628	909	536
629	910	534
630	911	532
631	912	531
632	913	529
633	914	528
634	915	526
635	917	524
636	918	523
637	919	521
638	920	519
639	921	518
640	922	516
641	924	515
642	925	513
643	926	512
644	928	510
645	929	509
646	930	507
647	932	506
648	933	505
649	935	503
650	938	503
651	940	501
652	942	500
653	944	499
654	945	497
655	946	496
656	947	494
657	948	492
658	949	491
659	950	489
660	951	488
661	952	486
662	953	484
663	954	483
664	955	481
665	957	479
666	958	478
667	959	476
668	960	475
669	961	473
670	963	472
671	965	471
672	966	469
673	967	467
674	969	466
675	970	465
676	971	463
677	972	462
678	974	460
679	975	459
680	976	457
681	978	456
682	979	454
683	980	452
684	981	451
685	982	449
686	983	448
687	984	446
688	985	444
689	987	443
690	988	442
691	989	440
692	991	439
693	992	437
694	993	435
695	994	434
696	995	432
697	996	431
698	997	429
699	998	427
700	999	426
701	1000	424
702	1001	423
703	1002	421
704	1004	420
705	1005	418
706	1006	417
707	1007	415
708	1009	414
709	1010	412
710	1011	411
711	1012	409
712	1012	407
713	1014	406
714	1015	404
715	1016	403
716	1017	401
717	1018	400
718	1020	398
719	1021	397
720	1022	395
721	1023	393
722	1024	392
723	1025	390
724	1026	389
725	1027	387
726	1028	386
727	1029	384
728	1031	383
729	1032	381
730	1033	380
731	1035	378
732	1035	377
733	1036	375
734	1037	374
735	1039	372
736	1040	371
737	1041	369
738	1042	368
739	1043	366
740	1045	365
741	1046	363
742	1048	362
743	1049	360
744	1050	359
745	1051	357
746	1052	356
747	1053	354
748	1054	353
749	1055	351
750	1056	350
751	1057	348
752	1059	347
753	1060	345
754	1062	344
755	1063	343
756	1064	341
757	1065	340
758	1066	338
759	1067	336
760	1068	335
761	1069	333
762	1070	332
763	1071	330
764	1072	329
765	1072	327
766	1073	326
767	1075	324
768	1076	323
769	1077	321
770	1078	320
771	1079	318
772	1080	317
773	1081	315
774	1082	314
775	1083	312
776	1084	311
777	1085	309
778	1086	308
779	1087	306
780	1088	305
781	1090	303
782	1091	302
783	1092	301
784	1093	299
785	1094	298
786	1096	296
787	1097	295
788	1098	293
789	1099	292
790	1100	290
791	1101	289
792	1102	287
793	1103	286
794	1104	284
795	1105	283
796	1147	292
797	1148	290
798	1150	289
799	1151	287
800	1153	286
801	1155	285
802	1157	283
803	1158	282
804	1159	280
805	1160	279
806	1161	277
807	1162	276
808	1163	274
809	1165	273
810	1166	271
811	1167	270
812	1168	268
813	1169	267
814	1171	266
815	1174	264
816	1175	263
817	1176	261
818	1177	260
819	1179	258
820	1180	257
821	1181	255
822	1182	254
823	1191	254
824	1193	253
825	1196	251
826	1197	250
827	1198	248
828	1199	247
829	1200	245
830	1202	244
831	1203	243
832	1205	241
833	1206	240
834	1207	238
835	1208	237
836	1209	235
837	1211	234
838	1212	232
839	1213	231
840	1214	229
841	1215	227
842	1218	226
843	1219	225
844	1220	223
845	1222	222
846	1223	220
847	1224	219
848	1225	217
849	1226	216
850	1227	214
851	1228	213
852	1229	211
853	1230	210
854	1232	208
855	1233	207
856	1234	205
857	1235	204
858	1236	203
859	1237	201
860	1239	200
861	1240	198
862	1241	197
863	1242	195
864	1243	194
865	1244	192
866	1245	191
867	1246	189
868	1248	188
869	1250	186
870	1251	185
871	1252	183
872	1253	182
873	1254	180
874	1255	179
875	1257	177
876	1258	176
877	1259	175
878	1261	173
879	1264	172
880	1265	170
881	1266	169
882	1268	168
883	1269	166
884	1270	165
885	1271	163
886	1272	162
887	1273	160
888	1274	159
889	1275	157
890	1278	156
891	1279	154
892	1281	153
893	1282	152
894	1283	150
895	1284	149
896	1285	147
897	1286	146
898	1287	144
899	1288	143
900	1290	141
901	1290	140
902	1292	138
903	1294	137
904	1295	135
905	1296	134
906	1298	133
907	1299	131
908	1299	130
909	1301	128
910	1302	127
911	1303	125
912	1304	124
913	1305	122
914	1307	121
915	1308	119
916	1310	118
917	1311	117
918	1312	115
919	1313	114
920	1314	112
921	1315	111
922	1317	109
923	1318	108
924	1319	106
925	1320	105
926	1321	104
927	1322	102
928	1324	101
929	1326	99
930	1327	98
931	1328	96
932	1329	95
933	1330	94
934	1331	92
935	1332	91
936	1333	89
937	1334	88
938	1335	86
939	1336	85
940	1337	83
941	1339	82
942	1340	81
943	1341	79
944	1342	78
945	1343	76
946	1344	75
947	1345	73
948	1346	72
949	1348	70
950	1349	69
951	1350	68
952	1351	66
953	1352	65
954	1353	63
955	1355	62
956	1356	60
957	1357	59
958	1358	58
959	1359	56
960	1360	55
961	1361	53
962	1362	52
963	1363	50
964	1364	49
965	1365	48
966	1365	46
967	1367	45
968	1368	43
969	1369	42
970	1370	40
971	1371	39
972	1372	38
973	1373	36
974	1374	35
975	1375	33
976	1376	32
977	1377	30
978	1378	29
979	1379	28
980	1380	26
981	1380	25
982	1381	23
983	1382	22
984	1383	21
985	1384	19
986	1386	18
987	1387	16
988	1388	15
989	1388	14
990	1389	12
991	1390	11
992	1391	9
993	1392	8
994	1393	7
995	1394	5
996	1395	4
997	1396	2
998	1397	1
999	1397	0
